날짜,단어,의미
day02,essence,[명] 본질
day02,economic,[형] 경제의
day02,cell,[명] 세포
day02,focus,[동] 집중하다[명] 초점
day02,issue,"[명] 논란거리, 발행, 발행물"
day02,participate,[동] 참여하다
day02,demand,"[명] 요구, 수요[동] 요구하다"
day02,occur,"[동] 일어나다, 발생하다"
day02,complex,[형] 복잡한[명] 복합체
day02,define,"[동] 정의하다, 규정하다"
day02,proud,[형] 자랑스러워하는
day02,aware,[형] 인지하는
day02,contact,[동] 접촉하다[명] 접촉
day02,profession,[명] 직업
day02,detail,[명] 세부
day02,approach,[동] 접근하다[명] 접근
day02,career,"[명] 직업, 경력"
day02,package,[명] 꾸러미
day02,disappear,[동] 사라지다
day02,novel,[명] 소설
day02,secure,"[형] 안전한, 안정된"
day02,despite,[전] ~에도 불구하고
day02,background,"[명] (그림, 사람, 사건)배경"
day02,solution,[명] 해결책
day02,generate,[동] 일으키다
day02,eventually,[부] 결국
day02,fashion,"[명] 유행, 패션"
day03,decrease,"[동] 줄다, 줄이다[명] 감소"
day03,recycle,[동] 재활용하다
day03,desire,"[명] 욕구, 욕망[동] 바라다"
day03,balance,"[명] 균형, 은행 장고[동] 균형을 이루다"
day03,negative,[형] 부정적인
day03,follow,"[동] 따라가다, 따르다"
day03,publish,"[동] 발표하다, 출판하다"
day03,occasion,"[명] 경우, 특별한 일"
day03,replace,[동] 대체하다
day03,constant,"[형] 일정한, 불변의[명] 상수"
day03,expert,[명] 전문가
day03,term,"[명] 기간, 용어, 학기"
day03,relieve,"[동] 경감시키다, 안도시키다"
day03,describe,"[동] 묘사하다, 표현하다"
day03,biology,[명] 생물학
day03,due,"[형] 만기의, ~하기로 되어 있는"
day03,equipment,"[명] 장치, 장비"
day03,congratulate,[동] 축하하다
day03,birth,[명] 탄생
day03,compose,"[동] 구성하다, 작곡하다, 작문하다"
day03,genius,"[명] 천재, 천재성"
day03,reflect,"[동] 반영하다, 반사하다, 숙고하다"
day03,cause,"[명] 원인[동] ~의 원인이 되다, 야기하다"
day03,frequent,[형] 빈번한[동] 자주 가다
day03,factor,"[명] 요소, 원인"
day03,extreme,"[형] 극도의, 극단"
day03,tend,"[동] ~하는 경향이 있다, 돌보다"
day03,politics,"[명] 정치, 정치학"
day03,insist,"[동] 주장하다, 고집하다"
day03,extend,"[동] 연장하다, 넓히다"
day03,lonely,[형] 외로운
day03,habitat,"[명] 서식지, 거주지"
day03,mental,[형] 정신의
day03,steady,"[형] 안정된, 한결같은, 꾸준한"
day03,exchange,[동] 교환하다
day03,active,"[형] 적극적인, 활동적인"
day03,species,[명] (분류상의) 종
day03,athletic,"[형] 운동의, 운동경기의"
day03,dental,[형] 치아의
day03,account,"[명] 은행 계좌, 이야기, 설명[동] 설명하다"
day04,delight,[명] 기쁨[동] 기쁘게 하다
day04,confident,[형] 자신 있는
day04,gradually,"[부] 서서히, 점차"
day04,shadow,"[명] 그림자, 그늘지게 하다"
day04,access,"[명] 접근, 이용[동] 접근하다"
day04,announce,"[동] 발표하다, 알리다"
day04,allow,"[동] 허락하다, 인정하다"
day04,firm,"[형] 단단한, 확고한[명] 회사"
day04,vary,"[동] 바꾸다, 변하다, 다르다"
day04,injure,"[동] 상처를 입히다, 손상시키다"
day04,permit,[동] 허용하다
day04,response,"[명] 응답, 반응"
day04,threat,"[동] 위협, 위험"
day04,electricity,[명] 전기
day04,disabled,"[형] 장애를 가진, 무능력하게 된"
day04,lack,[명] 부족[동] ~이 부족하다
day04,signify,"[동] 의미하다, 중요하다"
day04,concentrate,[동] 집중하다
day04,emphasize,[동] 강조하다
day04,astronomy,[명] 천문학
day04,flood,[명] 홍수[동] 범람시키다
day04,fuel,[명] 연료[동] 연료를 가하다
day04,manufacture,"[동] 제조하다[명] 제조, 제품"
day04,movement,"[명] 움직임, 운동"
day04,capable,"[형] ~을 할 수 있는, 유능한"
day04,combine,"[동] 결합시키다, 겸비하다"
day04,gene,[명] 유전자
day04,increase,"[동] 증가하다[명] 증가, 이자"
day04,victim,"[명] 희생, 희생자"
day04,pressure,"[명] 압력, 압박[동] 압력을 가하다"
day04,accompany,"[동] 동반하다, 수반하다"
day04,frustrate,[동] 좌절시키다
day04,construct,[동] 건설하다
day04,dwindle,"[동] 점점 줄어들다, 저하되다"
day04,commerce,"[명] 상업, 교역"
day04,entertain,[동] 즐겁게 하다
day04,predict,"[동] 예언하다, 예측하다"
day04,apologize,[동] 사과하다
day04,sight,"[명] 시야, 광경, 시력"
day04,quantity,[명] 양
day05,conclude,"[동] 결론을 짓다, 끝내다"
day05,donate,[동] 기부하다
day05,personality,"[명] 개성, 성격, 특색"
day05,struggle,"[동] 싸우다, 노력하다[명] 투쟁, 노력"
day05,advantage,"[명] 유리한 점, 이익"
day05,variety,"[명] 다양, 다양성"
day05,enable,[동] 가능하게 하다
day05,instruction,"[명] 지시, 제품 사용 설명서, 가르침"
day05,assume,"[동] 추정하다, 취하다"
day05,attempt,[동] 시도하다[명] 시도
day05,incredible,"[형] 믿을 수 없는, 굉장한"
day05,feature,"[명] 특징, 특집기사, 얼굴 생김새[동] ~을 특징으로 하다, 주연하다"
day05,confuse,"[동] 혼란시키다, 혼동하다"
day05,electronic,[형] 전자의
day05,absorb,"[동] 흡수하다, 열중시키다"
day05,indicate,"[동] 나타내다, 가리키다"
day05,analyze,[동] 분석하다
day05,stock,"[명] 재고품, 저장, 가축[동] 저장하다, 들여놓다"
day05,resident,[명] 거주자
day05,labor,"[명] 노동, 산고[동] 노동하다"
day05,remark,"[명] 의견, 주목[동] 의견을 말하다, ~에 주목하다"
day05,moral,[형] 도덕적인
day05,embarrassed,[형] 당황한
day05,claim,"[동] 주장하다[명] 주장, 요구"
day05,reasonable,"[형] 논리적인, 분별력이 있는"
day05,interrupt,"[동] 방해하다, 중단하다"
day05,discount,[명] 할인[동] 할인하다
day05,creature,"[명] 생물, 피조물"
day05,heal,"[동] 치료하다, 낫게하다"
day05,establish,"[동] 설립하다, 확립하다, 제정하다"
day05,revolution,"[명] 혁명, 갑작스런 변화, 회전"
day05,criticize,[동] 비난하다
day05,convince,"[동] 확신시키다, 납득시키다"
day05,efficient,"[형] 효율적인, 유능한"
day05,stranger,"[명] 낯선 사람, 문외한"
day05,tide,"[명] 조수, 흐름"
day05,obtain,"[동] 획득하다, 통용되다, 행해지다"
day05,assist,[동] 도움을 주다
day05,disaster,"[명] 재앙, 재해, 재난"
day05,terrific,"[형] 굉장한, 훌륭한"
day06,specific,"[형] 구체적인, 특정한"
day06,react,"[동] 반응하다, 반작용하다"
day06,independent,[형] 독립적인
day06,theory,[명] 이론
day06,qualify,[동] 자격을 얻다
day06,consider,"[동] 숙고하다, 고려하다"
day06,recall,"[동] 상기하다, 철회하다, 회수하다[명] 상기, 철회, 회수"
day06,risk,[명] 위험[동] 위험을 감수하다
day06,treatment,"[명] 치료, 대우, 취급"
day06,engage,[동] 관여하
day06,motivate,[동] 동기를 부여하다
day06,clue,[명] 단서
day06,cancer,[명] 암
day06,elder,[형] 연세가 드신
day06,depress,[동] 우울하게 하다
day06,fascinate,"[동] 마음을 사로잡다, 매혹하다,"
day06,violent,"[형] 폭력적인, 격렬한"
day06,alarm,"[명] 경보, 자명종"
day06,edge,"[명] 가장자리, (칼)날[동] 조금씩 움직이다"
day06,deserve,[동] ~할 가치가 있다
day06,route,"[명] 경로, 노선"
day06,psychology,"[명] 심리, 심리학"
day06,passion,[명] 열정
day06,import,[동] 수입하다[명] 수입품
day06,purchase,[동] 구매하다
day06,conscience,[명] 양심
day06,pose,[동] 자세를 취하다[명] 자세
day06,length,"[명] 길이, 기간"
day06,severe,"[형] 심각한, 가혹한[명] 반대, 후진"
day06,decade,[명] 10년
day06,occupy,"[동] (시간, 공간을) 차지하다"
day06,acquire,"[동] 얻다, 습득하다"
day06,interact,"[동] 소통하다, 상호작용하다"
day06,brief,"[형] 간결한, 짧은"
day06,observe,"[동] 관찰하다, 준수하다"
day06,poetry,[명] 시
day06,salary,[명] 급여
day06,grain,[명] 곡물
day06,meaningful,[형] 의미있는
day06,weed,[명] 잡초[동] 잡초를 뽑다
day07,survival,[명] 생존
day07,comment,"[명] 논평, 주석[동] 논평하다"
day07,leap,"[동] 뛰다, 도약하다[명] 도약"
day07,survey,"[동] 조사하다, 둘러보다[명] 설문 조사"
day07,typical,"[형] 전형적인, 대표적인"
day07,mere,[형] 단지 ~에 불과한
day07,mechanic,[명] 기계공
day07,mood,"[명] 분위기, 기분"
day07,approve,"[동] 승인하다, 찬성하다"
day07,rural,[형] 시골의
day07,finance,"[명] 재정, 재무, 금융[동] 자금을 조달하다"
day07,seek,"[동] 찾다, 추구하다, 노력하다"
day07,operation,"[명] 작업, 수술, 운영"
day07,crime,[명] 범죄
day07,awful,"[형] 끔찍한, 지독한"
day07,series,"[명] 연속, 시리즈물"
day07,exhausted,"[형] 기진맥진한, 고갈된"
day07,absolute,"[형] 절대적인, 완전한"
day07,surround,[동] 둘러싸다
day07,display,"[동] 나타내다, 전시하다[명] 전시"
day07,policy,"[명] 정책, 수단, 방법"
day07,mass,"[명] 덩어리, 많은 양, 집단, 대중"
day07,committee,[명] 위원회
day07,accurate,[형] 정확한
day07,arrange,"[동] 정리하다, 준비하다, 각색하다"
day07,facility,"[명] 시설, 편의, 재능"
day07,consult,"[동] 상담하다, 참고하다"
day07,refer,"[동] 언급하다, 위탁하다"
day07,attach,"[동] 붙이다, 첨부하다, 소속시키가"
day07,recover,"[동] 회복하다, 되찾다"
day07,reward,[명] 보상[동] 보답하다
day07,enormous,"[형] 거대한, 엄청난"
day07,domestic,"[형] 국내의, 가정의"
day07,wealth,"[명] 부, 재산"
day07,elementary,"[형] 초보의, 기초적인"
day07,gap,"[명] 격차, 틈"
day07,except,[전] ~을 제외하고는[동] 제외하다
day07,journey,[명] 여행
day07,plain,"[형] 평범한, 명백한"
day07,downtown,[명] 도심지[형] 도심의[부] 도심지에
day08,previous,"[형] 이전의, 앞의"
day08,produce,"[동] 생산하다, 제조하다"
day08,remain,"[동] 남다, 여전히 ~이다"
day08,break,"[동] 깨다, 고장내다"
day08,slight,"[형] 약간의, 경미한"
day08,include,[동] 포함하다
day08,delay,"[동] 연기하다, 미루다[명] 지연"
day08,file,"[명] 파일, 서류철[동] 파일에 철하다, (소송 등을) 제기하다"
day08,ethic,[명] 윤리
day08,reveal,"[동] 폭로하다, 드러내다"
day08,breed,"[동] 낳다, 양육하다"
day08,leisure,"[명] 여가, 자유 시간[형] 한가한"
day08,urban,[형] 도시의
day08,witness,"[명] 목격자, 증인[동] 목격하다"
day08,admit,"[동] 인정하다, 입장을 허락하다"
day08,muscle,"[명] 근육, 힘, 강제"
day08,device,"[명] 장치, 고안, 방책"
day08,suppose,"[동] 추측하다, 가정하다"
day08,intend,"[동] ~할 작정이다, 의도하다"
day08,aspect,"[명] 관점, 양상, 면"
day08,potential,[형] 잠재적인[명] 잠재력
day08,award,[명] 상[동] (상 등을) 수여하다
day08,preserve,"[동] 보존하다, 보호하다"
day08,spot,"[명] 지점, 얼룩[동] 발견하다, 얼룩지게 하다"
day08,underground,"[형] 지하의, 비밀의[명] 지하"
day08,consequence,"[명] 결과, 중요성"
day08,target,"[명] 목표, 표적[동] 목표로 삼다"
day08,unless,"[접] ~이 아닌 한, 만약 ~이 아니면"
day08,accomplish,"[동] 이루다, 성취하다"
day08,adopt,"[동] 입양하다, 채택하다"
day08,unique,"[형] 독특한, 유일한"
day08,slip,"[동] 미끄러지다, 실수하다[명] 종이조각"
day08,civilization,[명] 문명
day08,row,"[명] 열, 줄[동] 배를 젓다"
day08,horizon,"[명] 지평선, 수평선"
day08,atmosphere,"[명] 대기, 분위기"
day08,label,"[명] 꼬리표, 상표[동] 라벨을 붙이다, ~을 ~라고 부르다"
day08,decorate,"[동] 장식하다, ~에게 훈장을 주다"
day08,instant,"[형] 즉각의, 즉석의[명] 순간"
day08,owe,"[동] 빚지고 있다, ~에 돌리다"
day09,identify,"[동] ~임을 확인하다, 동일시하다, 식별하다"
day09,standard,"[명] 표준, 기준[형] 기준의, 표준의"
day09,scale,"[명] 규모, 저울, 비늘"
day09,evident,[형] 명백한
day09,seldom,[부] 거의 ~않는
day09,secretary,"[명] 비서, 서기관, 장관"
day09,basis,"[명] 기초, 원리"
day09,automatic,"[형] 자동적인, 기계적인"
day09,addict,[동] 중독시키다[명] 중독자
day09,disappoint,[동] 실망시키다
day09,artificial,"[형] 인공적인, 인조의"
day09,possess,"[동] 소유하다, ~의 마음을 사로잡다"
day09,substance,"[명] 물질, 본질, 실체"
day09,realistic,"[형] 현실적인, 현실주의의"
day09,encounter,[동] (우연히) 마주치다[명] 마주침
day09,differ,"[동] 다르다, 의견을 달리하다"
day09,principle,"[명] 원칙, 원리"
day09,memorize,[동] 기억하다
day09,physics,[명] 물리학
day09,evaluate,[동] 평가하다
day09,tremendous,"[형] 굉장한, 무시무시한"
day09,application,"[명] 적용, 신청"
day09,vote,[명] 투표[동] 투표하다
day09,spread,"[동] 펼치다, 퍼지다[명] 퍼짐, 확산"
day09,impact,"[명] 충격, 영향[동] 충격을 주다"
day09,cooperate,[동] 협력하다
day09,emit,[동] 방출하다
day09,request,[명] 요청[동] 요청하다
day09,guarantee,[동] 보증하다[명] 보증
day09,resist,[동] 저항하다
day09,fulfill,"[동] 달성하다, 이행하다, 실현하다"
day09,stink,"[동] 악취를 풍기다, 역겹다[명] 악취"
day09,grant,"[동] 수여하다, 승인하다"
day09,rely,"[동] 의지하다, 믿다"
day09,permanent,"[형] 영구적인, 영원한"
day09,emergency,[명] 비상 사태
day09,rid,[동] 제거하다
day09,theme,"[명] 주제, 화제, 논제"
day09,region,[명] 지역
day09,rise,"[동] 일어나다, 오르다[명] 상승"
day10,hesitate,"[동] 망설이다, 주저하다"
day10,location,"[명] 위치, 장소"
day10,restrict,"[동] 제한하다, 한정하다"
day10,organism,"[명] 생물, 유기체, 생명체"
day10,resolve,"[동] 해결하다, 결심하다, 분해하다"
day10,offer,"[동] 제공하다, 제안하다"
day10,distribute,"[동] 분배하다, 분포시키다"
day10,rainforest,[명] (열대)우림
day10,circumstance,"[명] 상황, 환경"
day10,interpret,"[동] 해석하다, 통역하다"
day10,suitable,"[형] 적합한, 적절한"
day10,curve,"[명] 곡선, 속임수"
day10,annoy,"[동] 괴롭히다, 귀찮게 하다"
day10,frighten,[동] 겁먹게 하다
day10,estimate,"[동] 평가하다[명] 견적, 평가"
day10,refuse,[동] 거절하다
day10,adventure,[명] 모험[동] 위험이 빠뜨리다
day10,entrance,"[명] 입구, 입장, 입학"
day10,persuade,[동] 설득하다
day10,perceive,"[동] 인지하다, 인식하다"
day10,recite,[동] 암송하다
day10,gather,[동] 모으다
day10,cabin,"[명] 객실, 선실, 오두막집"
day10,gear,"[명] 장비, 기어[동] 맞게 조정하다"
day10,ray,[명] 광선
day10,release,"[동] 놓아주다, 방출하다, 발표하다[명] 석방, 발표"
day10,rank,"[명] 지위, 등급[동] (순위를) 매기다, 차지하다"
day10,symphony,"[명] 교향곡, 조화"
day10,envy,[동] 부러워하다[명] 부러움
day10,corporate,"[형] 회사의, 법인의"
day10,alternative,[명] 대안[형] 대안의
day10,retire,[동] 은퇴하다
day10,appeal,"[동] 호소하다, 항의하다, 관심을 끌다[명] 호소, 항의, 매력"
day10,identical,"[형] 동일한, 일란성의"
day10,investment,[명] 투자
day10,autograph,[명] 서명[동] 서명하다
day10,slave,[명] 노예
day10,harm,"[명] 손해, 손상[동] 해치다"
day10,authority,"[명] 권위, 당국"
day10,innocence,"[명] 결백, 무죄, 순진"
day11,receive,[동] 받다
day11,infant,"[명] 유아[형] 유아의, 미발달의"
day11,calculate,[동] 계산하다
day11,charity,"[명] 자선 단체, 자비, 구호물자"
day11,accept,"[동] 받아들이다, 인정하다"
day11,depend,[동] 의지하다
day11,whereas,[접] ~인 반면에
day11,broad,"[형] 넓은, 광범위한, 가득한"
day11,treat,"[동] 대우하다, 치료하다, 처리하다, 여기다"
day11,ignorant,"[형] 모르는, 무식한"
day11,pure,[형] 순수한
day11,extinct,"[형] 멸종된, 꺼진"
day11,household,[명] 가정[형] 가정의
day11,refund,"[동] 환불하다[명] 환불, 반환"
day11,continue,[동] 계속하다
day11,institute,"[명] 연구소, 협회[동] 설립하다, 제정하다"
day11,lately,[부] 최근에
day11,ashamed,[형] 부끄러워하는
day11,dense,"[형] 밀집한, 조밀한"
day11,rescue,[동] 구조하다[명] 구조
day11,destination,[명] 목적지
day11,expand,[동] 확장하다
day11,compete,[동] 경쟁하다
day11,evolution,[명] 진화
day11,hire,[동] 고용하다
day11,genuine,"[형] 진짜의, 성실한"
day11,status,"[명] 지위, 상태, 현상"
day11,military,[형] 군대의[명] 군대
day11,logic,"[명] 논리, 논리학"
day11,gravity,[명] 중력
day11,isolate,[동] 고립시키다
day11,commit,"[동] (죄 등을) 저지르다, 전념하다, 맡기다"
day11,sum,"[명] 총합, 합계"
day11,conserve,[동] 보존하다
day11,concept,[명] 개념
day11,swing,"[동] 흔들다, 진동하다[명] 그네"
day11,sensible,"[형] 분별 있는, 현명한"
day11,marriage,"[명] 결혼, 혼인"
day11,reproduce,"[동] 번식하다, 재생하다, 복제하다"
day11,tone,"[명] 음, 어조, 말투, 색조"
day12,cancel,[동] 취소하다
day12,return,"[동] 돌아가다, 돌려주다[명] 귀환, 반납, 수익"
day12,invitation,"[명] 초대, 초대장"
day12,precise,[형] 정확한
day12,formal,"[형] 공식적인, 정식의"
day12,apparent,"[형] 명백한, 분명한"
day12,departure,[명] 출발
day12,visual,[형] 시각의
day12,current,"[형] 현재의[명] 해류, 흐름"
day12,agriculture,[명] 농업
day12,leak,"[동] 새다, 누설하다[명] 새는 구멍"
day12,portion,"[명] 부분, 일부[동] 분할하다"
day12,trend,"[명] 경향, 추세"
day12,particle,"[명] 극소량, 입자"
day12,rite,"[명] 의식, 의례"
day12,distinct,"[형] 뚜렷한, 별개의"
day12,component,[명] 구성 요소[형] 구성하는
day12,poverty,"[명] 가난, 빈곤"
day12,sculpture,[명] 조각[동] 조각하다
day12,descend,"[동] 내려오다, 물려주다"
day12,universal,"[형] 보편적인, 우주의"
day12,surface,"[명] 표면, 수면, 지면"
day12,eager,[형] 갈망하는
day12,legal,"[형] 법률의, 합법의"
day12,annual,"[형] 연간의, 1년의, 1년간의"
day12,trap,"[명] 함정[동] 덫을 놓다, 막다"
day12,demonstrate,"[동] 논증하다, 시위하다, 설명하다, 보여주다"
day12,companion,"[명] 동반자, 동료"
day12,democracy,"[명] 민주주의, 민주주의 국가"
day12,mature,"[형] 성숙한, 익은, 지불 만기의[동] 성숙해지다"
day12,brilliant,"[형] 명석한, 훌륭한"
day12,faith,"[명] 믿음, 신념"
day12,aim,[동] 겨냥하다[명] 조준
day12,spare,"[동] 용서하다, 남겨주다[형] 여분의, 검소한"
day12,transfer,"[동] 이동하다, 옮기다, 갈아타다"
day12,oppose,[동] 반대하다
day12,desperate,"[형] 절망적인, 필사적인"
day12,remote,"[형] 멀리 떨어진, 희박한, 드문"
day12,offend,"[동] 기분을 상하게 하다, 저지르다"
day12,awake,"[형] 깨어있는[동] 깨우다, 깨다"
day13,option,"[명] 선택, 선택권"
day13,insight,"[명] 통찰력, 통찰"
day13,achieve,"[동] 달성하다, 얻다"
day13,civil,"[형] 시민의, 민간의"
day13,pause,"[동] 잠시 멈추다, 중단하다[명] 중단"
day13,prove,"[동] 입증하다, 판명되다"
day13,lecture,[명] 강의[동] 강의를 하다
day13,minor,"[형] 사소한, 소수의[명] 미성년자, 부전공[동] 부전공하다"
day13,duty,"[명] 의무, 관세"
day13,vigor,[명] 활력
day13,organize,"[동] 조직하다, 구성하다, 정리하다"
day13,chief,"[명] 우두머리[형] 우두머리의, 주요한"
day13,complicated,[형] 복잡한
day13,digest,"[동] 소화하다, 이해하다[명] 요약"
day13,shortage,"[명] 부족, 결함"
day13,laboratory,[명] 실험실[형] 실험실의
day13,arrive,[동] 도착하다
day13,generous,"[형] 관대한, 넉넉한"
day13,laundry,[명] 세탁물
day13,transform,"[동] 변형시키다, 변환하다"
day13,discipline,"[명] 규율, 훈련, 징계[동] 훈련하다, 징계하다"
day13,forbid,[동] 금지하다
day13,ultimate,"[형] 궁극적인, 최후의"
day13,thrive,"[동] 번영하다, 발전하다, 잘되다"
day13,conversation,"[명] 대화, 회담, 좌담"
day13,bet,"[동] 돈을 걸다, 내기를 하다, 틀림없다[명] 내기"
day13,royal,"[형] 왕의, 왕족의"
day13,ruin,"[동] 망치다, 파멸시키다[명] 파멸, 파산"
day13,worship,"[동] 숭배하다, 예배하다[명] 숭배, 예배"
day13,evil,[형] 사악한[명] 악
day13,scarce,"[형] 부족한, 드문"
day13,afterward,"[부] 나중에, 그 후에"
day13,client,"[명] 의뢰인, 고객"
day13,insure,"[동] 보험에 계약하다, 안전하게 하다"
day13,fancy,"[명] 공상, 기호[동] 공상하다[형] 화려한"
day13,surgery,[명] 외과 수술
day13,assign,"[동] 할당하다, 지정하다"
day13,regulate,"[동] 규제하다, 조절하다"
day13,shelf,[명] 선반
day13,utility,"[명] 공익사업, 유용성"
day14,necessity,"[명] 필수, 필수품, 필요"
day14,yield,"[동] 생산하다, 양도하다, 굴복하다[명] 수확"
day14,decline,"[동] 감소하다, 쇠퇴하다, 거절하다[명] 감소, 쇠퇴"
day14,coincidence,"[명] (우연의) 일치, 동시에 일어난 사건"
day14,aside,"[부] 한쪽으로, 제쳐두고"
day14,contemporary,"[형] 현대의, 동시대의"
day14,bless,"[동] 축복하다, 감사하다"
day14,explain,[동] 설명하다
day14,prior,"[형] 이전의, 우선하는"
day14,tolerate,"[동] 참다, 용인하다"
day14,measure,"[동] 측정하다[명] 측정, 수단"
day14,abstract,"[형] 추상적인[명] 개요, 추상"
day14,cottage,[명] 오두막집
day14,correct,"[형] 올바른, 정확한[동] 바로잡다, 정정하다"
day14,confirm,"[동] 확인하다, 굳게하다"
day14,imitate,[동] 모방하다
day14,prey,"[명] 먹이, 희생자"
day14,defeat,[동] 패배시키다[명] 패배
day14,illustrate,"[동] (책에) 삽화를 넣다, 설명하다, 예증하다"
day14,fuse,"[명] 퓨즈, 도화선[동] 융합하다"
day14,pupil,"[명] 학생, 눈동자"
day14,intellect,[명] 지성
day14,spice,"[명] 양념, 향신료"
day14,tempt,"[동] 유혹하다, 관심을 끌다"
day14,inspire,"[동] 영감을 주다, 고무시키다, 격려하다"
day14,dine,"[동] 식사를 하다, 만찬을 대접하다"
day14,literally,[부] 문자 그대로
day14,appropriate,[형] 적절한
day14,resort,"[동] 의지하다, 자주 가다[명] 휴양지, 의지"
day14,grab,[동] 움켜쥐다[명] 움켜쥠
day14,propose,"[동] 제안하다, 청혼하다"
day14,wreck,"[명] 난파선, 사고[동] 난파시키다"
day14,document,"[명] 서류, 문서[동] 기록하다"
day14,suspect,[동] 의심하다[명] 용의자
day14,alien,"[형] 외국의, 이질적인[명] 외국인, 외계인"
day14,prohibit,[동] 금지하다
day14,install,[동] 설치하다
day14,triumph,[명] 승리[동] 승리하다
day14,scholarship,"[명] 장학금, 학문"
day14,execute,"[동] 실행하다, 처형하다"
day15,ensure,"[동] 확실하게 하다, 보증하다"
day15,receipt,[명] 영수증
day15,defect,[명] 결점[동] 버리다
day15,trait,"[명] 특징, 특성"
day15,modest,"[형] 겸손한, 알맞은"
day15,virtual,"[형] 사실상의, 가상의"
day15,compare,[동] 비교하다
day15,address,[명] 연설[동] 연설하다
day15,inner,[형] 내부의
day15,contrary,"[형] 반대의, 불리한[명] 반대의 것"
day15,split,"[동] 찢다, 쪼개다[명] 틈, 분열"
day15,supervise,"[동] 감독하다, 관리하다, 통제하다"
day15,inhabit,"[동] 살다, 거주하다"
day15,appear,[동] 나타나다
day15,commute,[동] 통근하다[명] 통근
day15,earthquake,"[명] 지진, 대변동"
day15,enroll,"[동] 등록하다, 입학하다"
day15,debate,[동] 토론하다[명] 토론
day15,abandon,"[동] 버리다, 포기하다"
day15,conquer,"[동] 정복하다, 극복하다"
day15,nevertheless,[부] 그럼에도 불구하고
day15,seal,"[동] 봉인하다[명] 봉인, 도장, 바다표범"
day15,greed,[명] 탐욕
day15,contract,"[명] 계약서[동] 계약하다, 수축하다"
day15,nutrition,[명] 영양
day15,retail,[명] 소매[동] 소매하다
day15,prejudice,"[명] 편견, 선입관"
day15,register,"[동] 등록하다, 기재하다[명] 등록"
day15,agency,[명] 대리점
day15,nurture,"[동] 양육하다, 교육하다[명] 교육, 양육"
day15,priest,[명] 성직자
day15,elegant,"[형] 우아한, 고상한"
day15,impose,"[동] 부과하다, 강요하다"
day15,arise,"[동] 발생하다, 생겨나다"
day15,modify,"[동] 수정하다, 변형하다"
day15,masterpiece,"[명] 대작, 명작"
day15,harsh,"[형] 가혹한, 거친"
day15,drought,[명] 가뭄
day15,criteria,"[형] 기준, 표준"
day15,extraordinary,"[형] 비범한, 놀라운"
day16,general,[형] 일반적인[명] 대장
day16,spill,"[동] 흘리다, 엎지르다[명] 엎질러짐, 유출"
day16,usual,"[형] 보통의, 통상의"
day16,routine,"[명] 일상적인 일, 일과[형] 일상적인"
day16,eliminate,"[동] 제거하다, 삭제하다"
day16,deny,"[동] 부인하다, 거절하다"
